YEAR,Activity Name,Institute,Country,Category,Start Date,End Date,Responsible Person,Unit / Dept Involved,Detail
2025,Ernst-Mach Grant (Music Practice),ASEA-UNINET,,Scholarship,,15 Dec 2026,,IR,https://asea-uninet.org/scholarships-grants/ernst-mach-grant-emg/
2025,AEC,AEC,Austria,Conference,4 Nov 2025,9 Nov 2025,Suchana Ruangronghiranya,IR,https://aec-music.eu/
2026,SEADOM,YST,Singapore,Conference,4 Mar 2026,7 Mar 2026,Suchana Ruangronghiranya PGVIM IR,IR,
2026,PGVIM visit China,"CCOM, Tianjin, and Consulate General of the Kingdom of Thailand in Shanghai, Lin 30 Wanshan Rd, Shanghai",China,"Conference, Visiting, Performing",23 Mar 2026,28 Mar 2026,Suchana Ruangronghiranya ,"IR, Academics, Student Affairs",
2026,International Symposium,PGVIM,Thailand,Conference,19 Aug 2026,22 Aug 2026,Suchana Ruangronghiranya,"IR, Academics, Activity, HR",
2026,MoU Ceremony สถาบันบัณฑิตพัฒนศิลป์,PGVIM,Thailand,MOU,31 Jan 2026,31 Jan 2026,,IR,
2026,Goethe Institute,,Thailand,Performing,25 Mar 2026,29 Mar 2026,Suchana Ruangronghiranya,"IR, Academics, Activity",
2026,ทปอ พันธกิจสากล,,Thailand,Conference,31 Mar 2026,1 Apr 2026,,IR,
2026,AEC,AEC,...,Conference,2 Nov 2026,9 Nov 2026,Suchana Ruangronghiranya,IR,https://aec-music.eu/
2026,ASEA-UNINET Meeting,,Thailand,Conference,15 Jan 2026,15 Jan 2026,Suchana Ruangronghiranya Apinporn Chaiwanichsiri,IR,
2027,GLOMUS,,South Africa,"Conference, Performing",25 Jan 2027,30 Jan 2027,Suchana Ruangronghiranya,"IR, Academics",
2027,ASEA-UNINET Planery Meeting,ASEA-UNINET,Thailand,"Conference, Performing",21 Feb 2027,27 Feb 2027,Suchana Ruangronghiranya,"IR, Academics",
